0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,69.66729461,70.67696518,71.71577949,72.78499640,73.88594568,75.02003288,76.18874412,77.39365184,78.63637047,79.91869235,81.24241218,82.48332342,83.89436354,85.24647339,86.75297560,88.31196251,89.92608048,91.59813707,93.33111062,95.12815967,96.99263226,99.06240076,101.07060785,103.15711449,105.32641988,107.58292842,109.93126540,112.37627170,114.92299191,117.57665394,120.34263735,123.37622618,126.38358994,129.51954770,132.78963160,136.19883343,139.75161989,143.45167209,147.30155536,104.33261101,107.67739786,111.15036579,114.74193701,118.44024517,122.22956874,126.10022952,183.01321031,187.85803430,192.67749959,197.41581480,201.73632398,206.11330734,210.19761789,213.91181124,217.18172131,192.64371653,193.62158117,194.22168678,194.33031767,193.93779619,193.07381129,191.79971685,190.21931740,188.46482697,186.75657283,217.79665614,215.59123026,213.28361285,210.92471098,208.55565284,206.20798976,203.90433211,201.65925794,138.85927334,134.91334503,131.97362843,130.34996329,191.39228372,189.48617493,102.99246035,100.37403150,92.35532136,86.28792702,101.02244773,94.90833576,92.22601375,90.23234808,91.60962027,91.46204747,71.80391519,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00051875,0.00059428,0.00068219,44.24556852,74.21374857,75.36359923,76.54911364,77.77195145,79.03387312,80.33674716,81.68255795,83.07336790,84.51143506,85.99906964,87.40724374,88.88822012,90.53622038,92.24487763,94.01744219,95.85737857,97.76837773,99.75437081,101.81954311,103.96834755,106.34468311,108.67273371,111.09941202,113.63034242,116.27145333,119.02896936,121.90939389,124.91947717,128.22560721,131.51679430,134.95795744,138.55685756,142.32013815,146.25385700,150.36314089,154.65173851,159.12145049,114.70170220,118.65051232,122.74499157,126.96781919,131.29655044,135.70268127,194.81430781,200.25147196,205.62931456,210.87068424,215.87349188,220.29816005,224.57148512,228.32464327,231.46930113,205.84711807,206.15698417,206.05452038,205.35560859,204.08188493,202.30058671,200.11270415,197.66733619,195.11858266,192.79469834,224.46925207,221.70087366,218.91476494,216.15775982,213.46418610,210.85711390,208.34981731,205.94728817,139.32291631,135.75723133,133.28392077,197.27300247,195.27485575,105.71119703,102.51920158,94.24351099,87.90990574,103.39597654,96.91094776,94.01729267,91.94569722,93.44635997,93.65530308,172.06345936,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00032779,0.00037564,0.00043137,0.00049645,0.00057259,0.00066190,46.91920804,78.13350543,79.41389200,80.73652926,82.10351798,83.51709586,84.97964805,86.49371843,88.06198158,89.68733534,91.37280362,92.98428247,94.67777064,96.55960592,98.51614040,100.55170189,102.67092338,104.87876385,107.18052939,109.58189379,112.23512070,114.85202651,117.58741051,120.44901961,123.44459013,126.58227522,129.87061767,133.31849979,137.10647543,140.90157506,144.88332466,149.06122902,153.44361308,158.03771133,162.84905480,167.88067033,173.13205464,127.23447379,131.94478682,136.81269917,141.80607666,146.88184269,151.98804438,214.53978979,220.56537733,226.36629294,231.81887126,236.49567108,240.85729488,244.48628891,247.28450664,220.33416609,219.60368226,218.45893785,216.64786043,214.22070637,211.29567264,208.02399804,204.59490629,201.18815241,198.27927582,230.66674459,227.37146829,224.16017841,221.06887066,218.11958407,215.32263913,212.67876598,144.24104408,139.80573903,136.66398050,203.41386090,201.33244592,199.29949378,104.74499357,96.16646722,89.53771125,105.95321249,101.74271309,95.83247137,93.68506412,95.33293104,75.66705797,77.71118627,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00023225,0.00024621,0.00026699,0.00030446,0.00035128,0.00040625,0.00047093,0.00054724,0.00063751,0.00074457,82.50446334,83.93987921,85.42591368,86.96526919,88.56083790,90.21571760,91.93322885,93.71690098,95.57053224,97.49815763,99.36038922,101.31693900,103.48891404,105.75449850,108.11959204,110.59054552,113.17419358,115.87788730,118.70952595,121.82960152,124.94017594,128.20583095,131.63687311,135.24421168,139.03931495,143.03412811,147.42625181,151.85771460,156.52560867,161.44176147,166.61653724,172.05820131,177.77177674,183.75753923,137.16425688,142.63173602,148.30455925,154.12799427,160.03852515,165.95313373,231.20061008,237.97260141,244.37733613,250.24043297,255.37163651,259.32392080,262.54596116,264.64562236,265.59035056,233.74206031,231.12280243,227.84605766,223.97940338,219.70058631,215.21317694,210.73442232,206.48972925,203.14018160,236.30441304,232.56287328,229.01644702,225.68373289,222.56968115,219.66847952,216.96599976,144.17234990,140.30535743,138.06321134,207.67396979,205.58576552,107.06289471,98.15223282,199.39966058,108.64710683,103.90132991,97.67391087,95.45171622,97.27519411,76.57675277,78.66559355,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00019386,0.00020527,0.00021761,0.00023097,0.00024544,0.00026118,0.00027959,0.00032450,0.00457668,0.00419622,0.00382903,0.00347579,0.00313719,0.00281392,89.03427610,90.71738132,92.46545484,94.28230713,96.17204268,98.13908691,100.18819383,102.32446255,104.55340258,106.73023941,109.01834356,111.55715523,114.21571503,117.00229667,119.92586413,122.99612476,126.22358177,129.77993121,133.35410306,137.12147564,141.09671837,145.29479601,149.73150008,154.62357256,159.58854480,164.84140442,170.39973168,176.27863351,182.49066074,189.04414356,195.94093278,203.17341463,155.20282443,161.89292853,168.76989543,175.73433480,182.65910939,189.38349320,258.49596103,265.50966882,271.67278061,276.74398327,280.19645173,282.54077446,283.40408862,282.83512382,248.11941021,243.55943866,238.44743421,232.88907312,227.10942915,221.35098739,215.83975883,210.84212451,207.45268097,241.35502821,237.29141137,233.53294946,230.07580744,226.90460454,223.99539187,149.04240951,144.21275563,141.06395158,214.31322353,212.19066411,109.50396263,106.59025472,97.04852601,111.72979047,106.10928120,99.54513259,97.24823825,99.28108429,77.48445637,79.66338670,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00016061,0.00016984,0.00017981,0.00019062,0.00020227,0.00021495,0.00022874,0.00640799,0.00635164,0.00613190,0.00580726,0.00534537,0.00489718,0.00446360,0.00404555,91.19076471,92.96794403,94.81640023,96.74051441,98.74502600,100.83506807,103.01620697,105.29448558,107.67646497,110.16918201,112.78037284,115.35999275,118.07501880,121.08815331,124.25831023,127.59749204,131.11880165,134.83653237,138.76625392,143.09226614,147.49460126,152.16372410,157.12083949,162.38835355,168.20915317,174.16902968,180.50973596,187.25447011,194.42266449,202.02825396,210.07619611,218.55771158,227.44400414,178.20985635,186.44721343,194.76318759,202.95539680,210.76715822,217.90791496,290.52289300,296.70364245,301.22927553,303.54795010,304.26673037,303.12021300,300.32005546,262.10663581,255.10708243,247.83438136,240.43553943,233.12555789,226.15585418,219.73182849,214.14991706,250.51103922,245.86535514,241.63984276,237.81726727,234.36879918,231.25746138,228.43986283,148.45703948,144.45608335,221.26877634,219.14255875,112.30419752,108.46793194,98.61904438,91.14154156,108.40884567,101.44520200,99.07858751,101.40389377,78.37719669,80.69577980,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00013264,0.00013939,0.00014738,0.00015596,0.00016527,0.00017536,0.00718927,0.00715250,0.00711078,0.00706331,0.00701247,0.00695656,0.00689449,0.00677689,0.00633690,0.00580319,93.43888743,95.31720746,97.27384367,99.31384212,101.44268618,103.66634299,105.99131564,108.42470180,110.97425921,113.64847947,116.45667007,119.40891526,122.51637898,125.62435549,128.90347853,132.54680087,136.40233811,140.48823238,144.82446890,149.43303404,154.33805937,159.74033429,165.31567305,171.27332096,177.64623279,184.71161593,192.01929457,199.84578887,208.22206468,217.17182176,226.70614764,236.81564461,247.45965515,258.55230183,208.20051661,218.27706113,228.06476281,237.14263965,245.01904373,320.32146903,325.89459702,328.97884466,329.43243791,327.07885796,322.91371359,317.07499840,274.78709411,264.92579673,255.35919978,246.14884157,237.44054841,229.45363534,222.34120840,216.47897572,254.69360383,249.96395996,245.76019938,242.03509255,238.73235363,235.79434670,153.23560858,148.14760939,145.36349713,226.47459816,224.44487980,110.46761912,100.21977207,92.39855623,110.79179946,103.37862035,100.95935681,103.64020805,79.25632532,81.78581381,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00012581,0.00012863,0.00013159,0.00013466,0.00013785,0.00798673,0.00796886,0.00794756,0.00792317,0.00789417,0.00786087,0.00782376,0.00778078,0.00773238,0.00767664,0.00761601,0.00754790,95.78279644,97.76987825,99.84313308,102.00838232,104.27198148,106.64088111,109.12269582,111.72578304,114.45933178,117.33346423,120.35935053,123.54933961,126.91710784,130.47769521,134.24784425,138.06978277,142.11825906,146.62739722,151.43434650,156.56795921,162.06036477,167.94725807,174.45425683,181.24828068,188.56658128,196.45998093,205.25223762,214.45515619,224.38965882,235.09704260,246.60070371,258.89255629,271.91355464,285.52752743,299.48933308,248.00561375,259.78457038,270.21836517,278.50672731,283.89360715,359.52444352,359.58658215,356.23399863,349.65115970,341.36220180,331.78996204,285.30858971,272.21257802,260.49600729,249.71635302,239.91307589,231.22608641,223.75290047,217.92813193,258.44964181,253.85738697,249.86210918,246.39162174,243.36987594,240.72020235,152.20282028,148.35367224,234.22675260,232.29411440,112.57707713,101.84778977,93.62260935,113.26323866,105.35247885,102.89486547,105.99933753,80.14051094,83.03702908,0.00000000,0.00000000,0.00000000
