x,y,predicted_intensity
-9.5,-10.0,0.0
-9.3,-10.0,0.0
-9.100000000000001,-10.0,0.0
-8.900000000000002,-10.0,0.0
-8.700000000000003,-10.0,0.0
-8.500000000000004,-10.0,0.0
-8.300000000000004,-10.0,0.0
-8.100000000000005,-10.0,0.0
-7.900000000000006,-10.0,0.0
-7.700000000000006,-10.0,0.0
-7.500000000000007,-10.0,0.0
-7.300000000000008,-10.0,0.0
-7.1000000000000085,-10.0,0.0
-6.900000000000009,-10.0,0.0
-6.70000000000001,-10.0,0.0
-6.500000000000011,-10.0,0.0
-6.300000000000011,-10.0,0.0
-6.100000000000012,-10.0,0.0
-5.900000000000013,-10.0,0.0
-5.7000000000000135,-10.0,0.0
-5.500000000000014,-10.0,0.0
-5.300000000000015,-10.0,0.0
-5.100000000000016,-10.0,0.0
-4.900000000000016,-10.0,0.0
-4.700000000000017,-10.0,0.0
-4.500000000000018,-10.0,0.0
-4.3000000000000185,-10.0,0.0
-4.100000000000019,-10.0,0.0
-3.90000000000002,-10.0,0.0
-3.7000000000000206,-10.0,0.0
-3.5000000000000213,-10.0,0.0
-3.300000000000022,-10.0,0.0
-3.1000000000000227,-10.0,0.0
-2.9000000000000234,-10.0,0.0
-2.700000000000024,-10.0,0.0
-2.500000000000025,-10.0,0.0
-2.3000000000000256,-10.0,0.0
-2.1000000000000263,-10.0,0.0
-1.900000000000027,-10.0,0.0
-1.7000000000000277,-10.0,0.0
-1.5000000000000284,-10.0,0.0
-1.3000000000000291,-10.0,0.0
-1.1000000000000298,-10.0,0.0
-0.9000000000000306,-10.0,0.0
-0.7000000000000313,-10.0,0.0
-0.500000000000032,-10.0,0.0
-0.3000000000000327,-10.0,0.0
-0.1000000000000334,-10.0,0.0
0.0999999999999659,-10.0,0.0
0.2999999999999652,-10.0,0.0
0.4999999999999645,-10.0,0.0
0.6999999999999638,-10.0,0.0
0.899999999999963,-10.0,0.0
1.0999999999999623,-10.0,0.0
1.2999999999999616,-10.0,0.0
1.499999999999961,-10.0,0.0
1.6999999999999602,-10.0,0.0
1.8999999999999595,-10.0,0.0
2.099999999999959,-10.0,0.0
2.299999999999958,-10.0,0.0
