0.00000732,0.00000930,0.00001178,0.00001485,0.00001864,0.00002330,0.00002900,0.00003591,0.00004425,0.00005424,0.00006613,0.00008014,0.00009654,0.00011555,0.00013739,0.00016221,0.00019013,0.00022117,0.00025525,0.00029217,0.00033159,0.00037303,0.00041583,0.00045922,0.00050226,0.00054391,0.00058309,0.00061865,0.00064953,0.00067470,0.00069335,0.00070480,0.00070866,0.00070480,0.00069335,0.00067470,0.00064953,0.00061865,0.00058309,0.00054391,0.00050226,0.00045922,0.00041583,0.00037303,0.00033159,0.00029217,0.00025525,0.00022117,0.00019013,0.00016221,0.00013739,0.00011555,0.00009654,0.00008014,0.00006613,0.00005424,0.00004425,0.00003591,0.00002900,0.00002330,0.00001864,0.00001485,0.00001178,0.00000930,0.00000732
0.00000589,0.00000756,0.00000968,0.00001234,0.00001567,0.00001981,0.00002493,0.00003122,0.00003889,0.00004818,0.00005936,0.00007269,0.00008846,0.00010694,0.00012839,0.00015304,0.00018103,0.00021245,0.00024727,0.00028534,0.00032633,0.00036976,0.00041497,0.00046112,0.00050719,0.00055204,0.00059444,0.00063312,0.00066681,0.00069438,0.00071483,0.00072742,0.00073167,0.00072742,0.00071483,0.00069438,0.00066681,0.00063312,0.00059444,0.00055204,0.00050719,0.00046112,0.00041497,0.00036976,0.00032633,0.00028534,0.00024727,0.00021245,0.00018103,0.00015304,0.00012839,0.00010694,0.00008846,0.00007269,0.00005936,0.00004818,0.00003889,0.00003122,0.00002493,0.00001981,0.00001567,0.00001234,0.00000968,0.00000756,0.00000589
0.00000464,0.00000603,0.00000782,0.00001009,0.00001297,0.00001659,0.00002112,0.00002676,0.00003373,0.00004228,0.00005268,0.00006524,0.00008027,0.00009809,0.00011902,0.00014332,0.00017124,0.00020290,0.00023834,0.00027747,0.00032000,0.00036545,0.00041317,0.00046224,0.00051158,0.00055993,0.00060589,0.00064801,0.00068487,0.00071513,0.00073764,0.00075152,0.00075621,0.00075152,0.00073764,0.00071513,0.00068487,0.00064801,0.00060589,0.00055993,0.00051158,0.00046224,0.00041317,0.00036545,0.00032000,0.00027747,0.00023834,0.00020290,0.00017124,0.00014332,0.00011902,0.00009809,0.00008027,0.00006524,0.00005268,0.00004228,0.00003373,0.00002676,0.00002112,0.00001659,0.00001297,0.00001009,0.00000782,0.00000603,0.00000464
0.00000358,0.00000471,0.00000619,0.00000809,0.00001053,0.00001365,0.00001760,0.00002259,0.00002883,0.00003659,0.00004615,0.00005786,0.00007204,0.00008908,0.00010932,0.00013312,0.00016077,0.00019251,0.00022842,0.00026849,0.00031249,0.00035998,0.00041027,0.00046243,0.00051529,0.00056745,0.00061734,0.00066333,0.00070375,0.00073706,0.00076190,0.00077725,0.00078244,0.00077725,0.00076190,0.00073706,0.00070375,0.00066333,0.00061734,0.00056745,0.00051529,0.00046243,0.00041027,0.00035998,0.00031249,0.00026849,0.00022842,0.00019251,0.00016077,0.00013312,0.00010932,0.00008908,0.00007204,0.00005786,0.00004615,0.00003659,0.00002883,0.00002259,0.00001760,0.00001365,0.00001053,0.00000809,0.00000619,0.00000471,0.00000358
0.00000269,0.00000360,0.00000479,0.00000635,0.00000838,0.00001101,0.00001440,0.00001873,0.00002424,0.00003118,0.00003986,0.00005062,0.00006386,0.00007997,0.00009937,0.00012248,0.00014968,0.00018128,0.00021749,0.00025835,0.00030371,0.00035320,0.00040613,0.00046154,0.00051817,0.00057448,0.00062873,0.00067903,0.00072346,0.00076023,0.00078775,0.00080478,0.00081055,0.00080478,0.00078775,0.00076023,0.00072346,0.00067903,0.00062873,0.00057448,0.00051817,0.00046154,0.00040613,0.00035320,0.00030371,0.00025835,0.00021749,0.00018128,0.00014968,0.00012248,0.00009937,0.00007997,0.00006386,0.00005062,0.00003986,0.00003118,0.00002424,0.00001873,0.00001440,0.00001101,0.00000838,0.00000635,0.00000479,0.00000360,0.00000269
0.00000197,0.00000267,0.00000361,0.00000486,0.00000652,0.00000869,0.00001154,0.00001524,0.00002000,0.00002611,0.00003386,0.00004363,0.00005581,0.00007086,0.00008925,0.00011148,0.00013801,0.00016925,0.00020552,0.00024697,0.00029356,0.00034497,0.00040056,0.00045936,0.00052002,0.00058087,0.00063993,0.00069506,0.00074404,0.00078476,0.00081534,0.00083431,0.00084074,0.00083431,0.00081534,0.00078476,0.00074404,0.00069506,0.00063993,0.00058087,0.00052002,0.00045936,0.00040056,0.00034497,0.00029356,0.00024697,0.00020552,0.00016925,0.00013801,0.00011148,0.00008925,0.00007086,0.00005581,0.00004363,0.00003386,0.00002611,0.00002000,0.00001524,0.00001154,0.00000869,0.00000652,0.00000486,0.00000361,0.00000267,0.00000197
0.00000140,0.00000193,0.00000265,0.00000363,0.00000494,0.00000670,0.00000903,0.00001212,0.00001616,0.00002143,0.00002824,0.00003695,0.00004800,0.00006187,0.00007909,0.00010022,0.00012584,0.00015646,0.00019252,0.00023432,0.00028193,0.00033515,0.00039339,0.00045569,0.00052064,0.00058641,0.00065080,0.00071135,0.00076549,0.00081073,0.00084483,0.00086605,0.00087325,0.00086605,0.00084483,0.00081073,0.00076549,0.00071135,0.00065080,0.00058641,0.00052064,0.00045569,0.00039339,0.00033515,0.00028193,0.00023432,0.00019252,0.00015646,0.00012584,0.00010022,0.00007909,0.00006187,0.00004800,0.00003695,0.00002824,0.00002143,0.00001616,0.00001212,0.00000903,0.00000670,0.00000494,0.00000363,0.00000265,0.00000193,0.00000140
12.21328582,0.00000185,12.70407749,12.95917435,0.00000490,13.48852770,13.76253415,14.04248835,14.32809218,14.61895917,14.91460262,15.21442308,15.51769566,15.82355723,16.13099426,16.43883176,16.74572424,0.00018049,17.35040630,17.64461728,17.93073795,18.20657328,18.46980259,18.71801347,18.94874497,19.15953956,19.34800270,19.51186803,19.64906539,19.75778814,19.83655595,19.88426896,19.90024958,19.88426896,19.83655595,19.75778814,19.64906539,19.51186803,19.34800270,19.15953956,18.94874497,18.71801347,18.46980259,18.20657328,17.93073795,17.64461728,17.35040630,0.00018049,16.74572424,16.43883176,16.13099426,15.82355723,15.51769566,15.21442308,14.91460262,14.61895917,14.32809218,14.04248835,13.76253415,13.48852770,0.00000490,12.95917435,12.70407749,0.00000185,12.21328582
12.40039894,12.65399921,12.91486336,13.18303620,13.45852149,13.74127369,14.03118848,14.32809218,14.63172992,14.94175262,15.25770279,15.57899937,15.90492175,16.23459349,16.56696607,16.90080356,17.23466902,17.56691382,17.89567110,18.21885509,18.53416766,18.83911402,19.13102878,19.40711375,19.66448793,19.90024958,20.11154907,20.29567016,20.45011633,20.57269724,20.66161041,20.71551218,20.73357295,20.71551218,20.66161041,20.57269724,20.45011633,20.29567016,20.11154907,19.90024958,19.66448793,19.40711375,19.13102878,18.83911402,18.53416766,18.21885509,17.89567110,17.56691382,17.23466902,16.90080356,16.56696607,16.23459349,15.90492175,15.57899937,15.25770279,14.94175262,14.63172992,14.32809218,14.03118848,13.74127369,13.45852149,13.18303620,12.91486336,12.65399921,12.40039894
12.58813323,12.85357902,13.12714976,13.40894990,13.69904460,13.99745071,14.30412638,14.61895917,14.94175262,15.27221111,15.60992319,15.95434328,16.30477205,16.66033582,17.01996543,17.38237549,17.74604491,18.10920011,18.46980259,18.82554283,19.17384259,19.51186803,19.83655595,20.14465483,20.43278218,20.69749830,20.93539542,21.14319944,21.31787993,21.45676227,21.55763460,21.61884200,21.63936008,21.61884200,21.55763460,21.45676227,21.31787993,21.14319944,20.93539542,20.69749830,20.43278218,20.14465483,19.83655595,19.51186803,19.17384259,18.82554283,18.46980259,18.10920011,17.74604491,17.38237549,17.01996543,16.66033582,16.30477205,15.95434328,15.60992319,15.27221111,14.94175262,14.61895917,14.30412638,13.99745071,13.69904460,13.40894990,13.12714976,12.85357902,12.58813323
12.77604239,13.05372021,13.34045436,13.63641952,13.94175415,14.25655091,14.58084530,14.91460262,15.25770279,15.60992319,15.97091915,16.34020225,16.71711658,17.10081303,17.49022233,17.88402755,18.28063709,18.67815995,19.07438504,19.46676711,19.85242229,20.22813627,20.59038849,20.93539542,21.25917517,21.55763460,21.82667817,22.06233563,22.26090305,22.41908916,22.53415709,22.60405036,22.62749240,22.60405036,22.53415709,22.41908916,22.26090305,22.06233563,21.82667817,21.55763460,21.25917517,20.93539542,20.59038849,20.22813627,19.85242229,19.46676711,19.07438504,18.67815995,18.28063709,17.88402755,17.49022233,17.10081303,16.71711658,16.34020225,15.97091915,15.60992319,15.25770279,14.91460262,14.58084530,14.25655091,13.94175415,13.63641952,13.34045436,13.05372021,12.77604239
12.96363039,13.25390077,13.55423065,13.86487653,14.18606347,14.51797493,14.86074078,15.21442308,15.57899937,15.95434328,16.34020225,16.73617214,17.14166875,17.55589645,17.97781423,18.40609995,18.83911402,19.27486408,19.71097326,20.14465483,20.57269724,20.99146372,21.39691125,21.78463360,22.14993236,22.48791861,22.79364541,23.06226829,23.28922696,23.47043787,23.60248381,23.68278465,23.70973352,23.68278465,23.60248381,23.47043787,23.28922696,23.06226829,22.79364541,22.48791861,22.14993236,21.78463360,21.39691125,20.99146372,20.57269724,20.14465483,19.71097326,19.27486408,18.83911402,18.40609995,17.97781423,17.55589645,17.14166875,16.73617214,16.34020225,15.95434328,15.57899937,15.21442308,14.86074078,14.51797493,14.18606347,13.86487653,13.55423065,13.25390077,12.96363039
13.15034991,13.45353976,13.76786460,14.09367535,14.43129815,14.78102402,15.14309633,15.51769566,15.90492175,16.30477205,16.71711658,17.14166875,17.57795184,18.02526120,18.48262225,18.94874497,19.42197592,19.90024958,20.38104175,20.86132857,21.33755602,21.80562562,22.26090305,22.69825663,23.11213237,23.49667051,23.84586565,24.15376838,24.41472058,24.62361079,24.77613048,24.86900845,24.90019973,24.86900845,24.77613048,24.62361079,24.41472058,24.15376838,23.84586565,23.49667051,23.11213237,22.69825663,22.26090305,21.80562562,21.33755602,20.86132857,20.38104175,19.90024958,19.42197592,18.94874497,18.48262225,18.02526120,17.57795184,17.14166875,16.71711658,16.30477205,15.90492175,15.51769566,15.14309633,14.78102402,14.43129815,14.09367535,13.76786460,13.45353976,13.15034991
13.33560161,13.65199582,13.98067219,14.32208951,14.67669073,15.04489275,15.42707369,15.82355723,16.23459349,16.66033582,17.10081303,17.55589645,18.02526120,18.50834141,19.00427927,19.51186803,20.02949004,20.55505130,21.08591557,21.61884200,22.14993236,22.67459516,23.18753604,23.68278465,24.15376838,24.59344213,24.99447965,25.34952614,25.65150405,25.89395435,26.07138694,26.17960658,26.21597923,26.17960658,26.07138694,25.89395435,25.65150405,25.34952614,24.99447965,24.59344213,24.15376838,23.68278465,23.18753604,22.67459516,22.14993236,21.61884200,21.08591557,20.55505130,20.02949004,19.51186803,19.00427927,18.50834141,18.02526120,17.55589645,17.10081303,16.66033582,16.23459349,15.82355723,15.42707369,15.04489275,14.67669073,14.32208951,13.98067219,13.65199582,13.33560161
13.51873402,13.84856643,14.19189780,14.54930893,14.92137633,15.30866258,15.71170386,16.13099426,16.56696607,17.01996543,17.49022233,17.97781423,18.48262225,19.00427927,19.54210916,20.09505697,20.66161041,21.23971393,21.82667817,22.41908916,23.01272420,23.60248381,24.18235219,24.74540073,25.28385085,25.78921154,26.25250333,26.66457296,27.01649139,27.30001348,27.50806241,27.63518987,27.67795756,27.63518987,27.50806241,27.30001348,27.01649139,26.66457296,26.25250333,25.78921154,25.28385085,24.74540073,24.18235219,23.60248381,23.01272420,22.41908916,21.82667817,21.23971393,20.66161041,20.09505697,19.54210916,19.00427927,18.48262225,17.97781423,17.49022233,17.01996543,16.56696607,16.13099426,15.71170386,15.30866258,14.92137633,14.54930893,14.19189780,13.84856643,13.51873402
13.69904460,14.04248835,14.40071379,14.77443834,15.16438962,15.57129690,15.99587950,16.43883176,16.90080356,17.38237549,17.88402755,18.40609995,18.94874497,19.51186803,20.09505697,20.69749830,21.31787993,21.95428094,22.60405036,23.26367938,23.92867436,24.59344213,25.25120330,25.89395435,26.51250242,27.09659828,27.63518987,28.11680939,28.53009116,28.86439475,29.11048287,29.26118108,29.31193451,29.26118108,29.11048287,28.86439475,28.53009116,28.11680939,27.63518987,27.09659828,26.51250242,25.89395435,25.25120330,24.59344213,23.92867436,23.26367938,22.60405036,21.95428094,21.31787993,20.69749830,20.09505697,19.51186803,18.94874497,18.40609995,17.88402755,17.38237549,16.90080356,16.43883176,15.99587950,15.57129690,15.16438962,14.77443834,14.40071379,14.04248835,13.69904460
